"","StockCode","EndDate.x","EndDate.y","ShortName","RDPerson","RDSpendSum","RDSpendSumRatio","RDInvest"
"5072","000999","2018-12-31","2000-12-31","三九医药",344,497700358.2,3.71,157611511.81
"5075","000999","2020-12-31","2000-12-31","三九医药",433,581204903.08,4.26,122611708.32
"5078","000999","2021-12-31","2000-12-31","三九医药",455,631276178.85,4.12,91856830.61
"5084","000999","2019-12-31","2000-12-31","三九医药",402,533936981.56,3.63,97783083.64
"5087","000999","2022-12-31","2000-12-31","三九医药",504,736384722.77,4.07,164557936.58
"5090","000999","2017-12-31","2000-12-31","三九医药",343,326031335.64,2.93,40791641.19
"5099","000999","2016-12-31","2000-12-31","三九医药",283,280030360.09,3.12,19343147.77
"5102","000999","2024-12-31","2000-12-31","三九医药",876,952976326.13,3.45,151226582.94
"5548","001367","2020-12-31","2023-12-31","海森药业",NA,10825600,3.8,NA
"5549","001367","2021-12-31","2023-12-31","海森药业",NA,12068200,3.1,NA
"5550","001367","2023-12-31","2023-12-31","海森药业",80,18841608.1,4.74,0
"5551","001367","2019-12-31","2023-12-31","海森药业",NA,9420200,3.53,NA
"5552","001367","2022-06-30","2023-12-31","海森药业",72,5801000,2.74,NA
"5553","001367","2024-12-31","2023-12-31","海森药业",95,27779529.02,5.89,0
"5655","002001","2020-12-31","2011-12-31","新和成",1962,545562375.72,5.29,0
"5657","002001","2022-12-31","2011-12-31","新和成",2629,858945406.13,5.39,0
"5658","002001","2018-12-31","2011-12-31","新和成",1627,457068310.24,5.26,0
"5662","002001","2021-12-31","2011-12-31","新和成",2368,782661708.54,5.29,0
"5663","002001","2019-12-31","2011-12-31","新和成",1793,434132763.62,5.7,0
"5666","002001","2017-12-31","2011-12-31","新和成",1069,336240349.36,5.39,0
"5668","002001","2023-12-31","2011-12-31","新和成",2803,887801475.02,5.87,0
"5670","002001","2016-12-31","2011-12-31","新和成",992,253413728.38,5.4,0
"5701","002004","2021-12-31","2004-12-31","华邦制药",1185,335131044.31,2.71,5659799.17
"5703","002004","2019-12-31","2004-12-31","华邦制药",1121,291524983.67,2.89,3498203.41
"5704","002004","2022-12-31","2004-12-31","华邦制药",1281,407122542.52,3.08,21883793.46
"5706","002004","2016-12-31","2004-12-31","华邦制药",865,248261660.15,3.5,20266327.96
"5709","002004","2018-12-31","2004-12-31","华邦制药",1079,357191676.8,3.38,7729678.57
"5713","002004","2017-12-31","2004-12-31","华邦制药",1021,273145644.81,3,28666184.33
"5715","002004","2023-12-31","2004-12-31","华邦制药",1349,448753811.87,3.87,29615070.01
"5716","002004","2020-12-31","2004-12-31","华邦制药",1146,325836705.27,3,1483602.28
"5747","002007","2018-12-31","2004-12-31","华兰生物",523,154715399.02,4.81,8256055.01
"5750","002007","2017-12-31","2004-12-31","华兰生物",336,130667589.68,5.52,1252855.44
"5753","002007","2022-12-31","2004-12-31","华兰生物",712,316337540.36,7,1636905.35
"5754","002007","2021-12-31","2004-12-31","华兰生物",701,256580298.38,5.78,2945577.41
"5757","002007","2016-12-31","2004-12-31","华兰生物",308,98640362.84,5.1,0
"5758","002007","2023-12-31","2004-12-31","华兰生物",768,282948774.16,5.3,2104794.85
"5760","002007","2020-12-31","2004-12-31","华兰生物",659,218750228.08,4.35,5537837.96
