"Firm_ID","Firm","Year"
566,"深圳信立泰药业股份有限公司",2020
681,"重庆圣华曦药业股份有限公司",2015
627,"福州屏山制药有限公司",2015
349,"广州白云山天心制药股份有限公司",2015
672,"迪沙药业集团有限公司",2015
266,"天津武田药品有限公司",2015
672,"迪沙药业集团有限公司",2016
627,"福州屏山制药有限公司",2016
349,"广州白云山天心制药股份有限公司",2016
NA,"山西皇城相府药业股份有限公司",2016
516,"浙江永宁药业股份有限公司",2016
681,"重庆圣华曦药业股份有限公司",2016
266,"天津武田药品有限公司",2016
253,"天地恒一制药股份有限公司",2016
540,"海南惠普森医药生物技术有限公司",2016
672,"迪沙药业集团有限公司",2017
627,"福州屏山制药有限公司",2017
349,"广州白云山天心制药股份有限公司",2017
540,"海南惠普森医药生物技术有限公司",2017
593,"湖南天地恒一制药有限公司",2017
326,"山西皇城相府药业有限公司",2017
681,"重庆圣华曦药业股份有限公司",2017
266,"天津武田药品有限公司",2017
NA,"山西皇城相府药业股份有限公司",2017
253,"天地恒一制药股份有限公司",2017
681,"重庆圣华曦药业股份有限公司",2018
672,"迪沙药业集团有限公司",2018
NA,"Takeda Pharmaceutical Company Limited, Osaka Plant",2018
266,"天津武田药品有限公司",2018
627,"福州屏山制药有限公司",2018
349,"广州白云山天心制药股份有限公司",2018
NA,"山西皇城相府药业股份有限公司",2018
540,"海南惠普森医药生物技术有限公司",2018
253,"天地恒一制药股份有限公司",2018
516,"浙江永宁药业股份有限公司",2019
266,"天津武田药品有限公司",2019
253,"天地恒一制药股份有限公司",2019
NA,"山西皇城相府药业股份有限公司",2019
672,"迪沙药业集团有限公司",2019
253,"天地恒一制药股份有限公司",2020
516,"浙江永宁药业股份有限公司",2020
45,"Pfizer Pharmaceuticals LLC（辉瑞制药有限公司进口分装）",2015
44,"Pfizer Pharmaceuticals LLC（辉瑞制药有限公司
进口分装）",2017
446,"江苏正大清江制药有限公司",2020
223,"四川国为制药有限公司",2020
622,"石药集团欧意药业有限公司",2020
700,"青岛百洋制药有限公司",2020
622,"石药集团欧意药业有限公司",2021
708,"黑龙江福和华星制药集团股份有限公司",2015
279,"宁波天衡药业股份有限公司",2015
495,"浙江北生药业汉生制药有限公司",2016
287,"安徽恒星制药有限公司",2016
624,"福安药业集团宁波天衡制药有限公司",2016
328,"常州兰陵制药有限公司",2016
328,"常州兰陵制药有限公司",2017
624,"福安药业集团宁波天衡制药有限公司",2017
708,"黑龙江福和华星制药集团股份有限公司",2017
191,"南京臣功制药股份有限公司",2017
495,"浙江北生药业汉生制药有限公司",2017
NA,"FARMA MEDITERRANIA S.L.",2017
624,"福安药业集团宁波天衡制药有限公司",2018
495,"浙江北生药业汉生制药有限公司",2018
287,"安徽恒星制药有限公司",2018
